Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
Welington Dano,Welington Kauê Dano Nascimento,81,27500000,LB,Brazil,22,Clube Atlético Mineiro,2022
Adriano Bisesi,Louri Adriano Bisesi Barbosa,81,25500000,ST,Brazil,30,RB Bragantino,2022
Rosival Dourado,Rosival Jailson Dourado Santos,81,27000000,CDM,Brazil,22,Sport Club Corinthians Paulista,2022
Adryan Zonta,Adryan Juliano Zonta Torres,81,22000000,LWB,Brazil,30,RB Bragantino,2022
G. Mancini,Gianluca Mancini,81,28000000,CB,Italy,26,Roma,2020
G. Rodríguez,Guido Rodríguez,81,26500000,CDM,Argentina,27,Real Betis Balompié,2020
D. Upamecano,Dayot Upamecano,81,37000000,CB,France,23,FC Bayern München,2021
Palhinha,João Maria Palhinha Gonçalves,81,28500000,CB,Portugal,26,Fulham,2022
D. Zakaria,Denis Zakaria,81,34500000,CDM,Switzerland,25,Chelsea,2022
M. Akanji,Manuel Akanji,81,26500000,CB,Switzerland,26,Manchester City,2022
A. Zambo Anguissa,André-Franck Zambo Anguissa,81,28500000,CDM,Cameroon,26,Napoli,2022
K. Tierney,Kieran Tierney,81,33000000,LWB,Scotland,25,Arsenal,2019
M. Rashford,Marcus Rashford,81,37000000,ST,England,24,Manchester United,2014
Richarlison,Richarlison de Andrade,81,34500000,ST,Brazil,25,Tottenham Hotspur,2022
Gabriel,Gabriel dos S. Magalhães,81,37000000,CB,Brazil,24,Arsenal,2020
H. Mkhitaryan,Henrikh Mkhitaryan,81,16000000,CAM,Armenia,33,Inter,2022
N. Otamendi,Nicolás Otamendi,81,8500000,CB,Argentina,34,SL Benfica,2020
M. Götze,Mario Götze,81,25000000,CAM,Germany,30,Eintracht Frankfurt,2022
C. Smalling,Chris Smalling,81,16500000,CB,England,32,Roma,2020
N. Pope,Nick Pope,81,17000000,GK,England,30,Newcastle United,2022
Rafael Tolói,Rafael Tolói,81,17500000,CB,Italy,31,Atalanta,2015
E. Cavani,Edinson Cavani,81,11000000,ST,Uruguay,35,Valencia CF,2022
É. Banega,Éver Banega,81,12000000,CM,Argentina,34,Al Shabab,2020
Adán,Antonio Adán Garrido,81,2900000,GK,Spain,35,Sporting CP,2020
G. Bale,Gareth Bale,81,20500000,ST,Wales,32,Los Angeles FC,2022
J. Vertonghen,Jan Vertonghen,81,7000000,CB,Belgium,35,RSC Anderlecht,2022
C. Vela,Carlos Vela,81,16000000,RW,Mexico,33,Los Angeles FC,2018
João Moutinho,João Filipe Moutinho,81,10500000,CM,Portugal,35,Wolverhampton Wanderers,2018
Pepe,Képler Laveran Lima Ferreira,81,4600000,CB,Portugal,39,FC Porto,2019
G. Lo Celso,Giovani Lo Celso,81,31500000,CAM,Argentina,26,Villarreal CF,2020
Oscar,Oscar dos Santos Emboaba,81,25000000,CAM,Brazil,30,Shanghai Port FC,2017
J. Gomez,Joe Gomez,81,34000000,CB,England,25,Liverpool,2015
José Sá,José Pedro Malheiro de Sá,81,20000000,GK,Portugal,29,Wolverhampton Wanderers,2021
Borja Iglesias,Borja Iglesias Quintás,81,25500000,ST,Spain,29,Real Betis Balompié,2019
J. Ward-Prowse,James Ward-Prowse,81,29500000,CM,England,27,Southampton,2011
L. Ocampos,Lucas Ocampos,81,27500000,RW,Argentina,27,Ajax,2019
E. Višća,Edin Višća,81,20500000,RM,Bosnia and Herzegovina,32,Trabzonspor,2022
T. Savanier,Téji Savanier,81,25000000,CAM,France,30,Montpellier Hérault SC,2019
E. Forsberg,Emil Forsberg,81,25000000,CAM,Sweden,30,RB Leipzig,2015
Lucas Vázquez,Lucas Vázquez Iglesias,81,18500000,RB,Spain,31,Real Madrid CF,2015
G. Laborde,Gaëtan Laborde,81,26500000,ST,France,28,OGC Nice,2022
J. Hofmann,Jonas Hofmann,81,25500000,CAM,Germany,29,Borussia Mönchengladbach,2016
N. Tagliafico,Nicolás Tagliafico,81,22500000,LB,Argentina,29,Olympique Lyonnais,2022
K. Demirbay,Kerem Demirbay,81,25500000,CM,Germany,28,Bayer 04 Leverkusen,2019
O. Vlachodimos,Odisseas Vlachodimos,81,22000000,GK,Greece,28,SL Benfica,2018
V. Grifo,Vincenzo Grifo,81,25500000,LM,Italy,29,Sport-Club Freiburg,2019
R. Andrich,Robert Andrich,81,26500000,CDM,Germany,27,Bayer 04 Leverkusen,2021
R. Le Normand,Robin Le Normand,81,34000000,CB,France,25,Real Sociedad,2016
Ricardo Horta,Ricardo Jorge da Luz Horta,81,28000000,CF,Portugal,27,SC Braga,2017
S. Lobotka,Stanislav Lobotka,81,29500000,CM,Slovakia,27,Napoli,2020
K. Phillips,Kalvin Phillips,81,32000000,CDM,England,26,Manchester City,2022
M. Uribe,Mateus Uribe,81,21000000,CM,Colombia,31,FC Porto,2019
L. Torreira,Lucas Torreira,81,28500000,CDM,Uruguay,26,Galatasaray SK,2022
M. Pašalić,Mario Pašalić,81,27500000,CAM,Croatia,27,Atalanta,2020
N. Keïta,Naby Keïta,81,29500000,CAM,Guinea,27,Liverpool,2018
C. Tolisso,Corentin Tolisso,81,27500000,CM,France,27,Olympique Lyonnais,2022
H. Lozano,Hirving Lozano,81,28000000,RW,Mexico,26,Napoli,2019
M. Politano,Matteo Politano,81,26000000,RW,Italy,28,Napoli,2021
A. Saint-Maximin,Allan Saint-Maximin,81,32500000,CAM,France,25,Newcastle United,2019
S. Fofana,Seko Fofana,81,27500000,CM,Côte d'Ivoire,27,Racing Club de Lens,2020
Iñaki Williams,Iñaki Williams Arthuer,81,26500000,ST,Ghana,28,Athletic Club de Bilbao,2012
J. Musso,Juan Musso,81,20500000,GK,Argentina,28,Atalanta,2021
B. Bourigeaud,Benjamin Bourigeaud,81,26000000,RW,France,28,Stade Rennais FC,2017
Y. En-Nesyri,Youssef En-Nesyri,80,31500000,ST,Morocco,25,Sevilla FC,2020
Javi Galán,Javier Galán Gil,80,20500000,LB,Spain,27,RC Celta de Vigo,2021
F. Neuhaus,Florian Neuhaus,80,29000000,CM,Germany,25,Borussia Mönchengladbach,2017
H. Barnes,Harvey Barnes,80,29000000,CAM,England,24,Leicester City,2016
A. Isak,Alexander Isak,80,33000000,ST,Sweden,22,Newcastle United,2022
L. Sinisterra,Luis Sinisterra,80,33500000,LW,Colombia,23,Leeds United,2022
X. Schlager,Xaver Schlager,80,27500000,CDM,Austria,24,RB Leipzig,2022
D. Kamada,Daichi Kamada,80,26500000,CAM,Japan,25,Eintracht Frankfurt,2017
M. Arambarri,Mauro Arambarri,80,28000000,CDM,Uruguay,26,Getafe CF,2018
A. Lafont,Alban Lafont,80,25500000,GK,France,23,FC Nantes,2021
Maikel Catarino,Maikel Renan Catarino Fagundes,80,21000000,RB,Brazil,26,Sport Club Corinthians Paulista,2022
Renato Sanches,Renato Júnior Luz Sanches,80,31500000,CAM,Portugal,24,Paris Saint-Germain,2022
Arthur,Arthur Henrique Ramos Oliveira Melo,80,26500000,CM,Brazil,25,Liverpool,2020
Tony Abranjes,Tony Josimar Abranjes Meneses,80,7000000,CB,Brazil,34,Internacional,2022
Laure Santeiro,Laureano Thomas Santeiro Marre,80,25000000,CAM,Brazil,22,Fluminense,2022
Héniton Pires,Héniton Enaldo Pires Tramontino,80,16500000,GK,Brazil,26,Flamengo,2022
M. Guendouzi,Mattéo Guendouzi,80,33000000,CDM,France,23,Olympique de Marseille,2022
L. Bailey,Leon Bailey,80,29000000,CAM,Jamaica,24,Aston Villa,2021
A. Wan-Bissaka,Aaron Wan-Bissaka,80,26500000,RB,England,24,Manchester United,2019
D. Sow,Djibril Sow,80,26500000,CM,Switzerland,25,Eintracht Frankfurt,2019
Mario Hermoso,Mario Hermoso Canseco,80,22500000,CB,Spain,27,Atlético de Madrid,2019
D. Calabria,Davide Calabria,80,25500000,RB,Italy,25,AC Milan,2015
E. Álvarez,Edson Álvarez,80,27500000,CB,Mexico,24,Ajax,2019
T. Koopmeiners,Teun Koopmeiners,80,30000000,CM,Netherlands,24,Atalanta,2021
B. Kamara,Boubacar Kamara,80,31000000,CDM,France,22,Aston Villa,2022
V. Tsygankov,Viktor Tsygankov,80,32000000,CAM,Ukraine,24,Dynamo Kyiv,2015
M. Dmitrović,Marko Dmitrović,80,16000000,GK,Serbia,30,Sevilla FC,2021
I. McAdoo,Isaac McAdoo,80,24500000,CB,England,26,AFC Richmond,2018
J. Frimpong,Jeremie Frimpong,80,31500000,RM,Netherlands,21,Bayer 04 Leverkusen,2021
Nuno Mendes,Nuno Alexandre Tavares Mendes,80,44000000,LB,Portugal,20,Paris Saint-Germain,2021
S. Botman,Sven Botman,80,31000000,CB,Netherlands,22,Newcastle United,2022
J. Timber,Jurriën Timber,80,44500000,CB,Netherlands,21,Ajax,2019
Renan Lodi,Renan Augusto Lodi dos Santos,80,29500000,LWB,Brazil,24,Nottingham Forest,2019
Reguilón,Sergio Reguilón Rodríguez,80,25500000,LWB,Spain,25,Atlético de Madrid,2020
V. Coufal,Vladimír Coufal,80,18500000,RB,Czech Republic,29,West Ham United,2020
A. Rrahmani,Amir Rrahmani,80,18000000,CB,Kosovo,28,Napoli,2020
S. McTominay,Scott McTominay,80,25000000,CDM,Scotland,25,Manchester United,2013
L. Majer,Lovro Majer,80,31500000,CAM,Croatia,24,Stade Rennais FC,2021
W. Saliba,William Saliba,80,40000000,CB,France,21,Arsenal,2019
D. Livaković,Dominik Livaković,80,20500000,GK,Croatia,27,Dinamo Zagreb,2015
R. Baku,Ridle Baku,80,30000000,RM,Germany,24,VfL Wolfsburg,2020
N. González,Nicolás González,80,32000000,LM,Argentina,24,Fiorentina,2021
E. Smith Rowe,Emile Smith Rowe,80,43000000,CAM,England,21,Arsenal,2017
J. Clauss,Jonathan Clauss,80,18500000,RWB,France,29,Olympique de Marseille,2022
W. McKennie,Weston McKennie,80,31500000,CM,United States,23,Juventus,2021
N. Milenković,Nikola Milenković,80,29000000,CB,Serbia,24,Fiorentina,2017
N. Aguerd,Nayef Aguerd,80,24500000,CB,Morocco,26,West Ham United,2022
Nélson Semedo,Nélson Cabral Semedo,80,19000000,RWB,Portugal,28,Wolverhampton Wanderers,2020
C. Aránguiz,Charles Aránguiz,80,10500000,CDM,Chile,33,Bayer 04 Leverkusen,2015
Lucas Moura,Lucas Rodrigues M. Silva,80,20500000,RW,Brazil,29,Tottenham Hotspur,2018
Jonathan Viera,Jonathan Viera Ramos,80,16500000,CAM,Spain,32,Unión Deportiva Las Palmas,2021
Danilo,Danilo Luiz da Silva,80,18000000,RB,Brazil,30,Juventus,2019
Sergi Roberto,Sergio Roberto Carnicer,80,18000000,RB,Spain,30,FC Barcelona,2013
Allan,Allan Marques Loureiro,80,15000000,CDM,Brazil,31,Everton,2020
J. Cillessen,Jasper Cillessen,80,7000000,GK,Netherlands,33,N.E.C. Nijmegen,2022
H. Vanaken,Hans Vanaken,80,20500000,CM,Belgium,29,Club Brugge KV,2015
S. Ortega,Stefan Ortega,80,14500000,GK,Germany,29,Manchester City,2022
Danilo Pereira,Danilo Luís Hélio Pereira,80,17500000,CDM,Portugal,30,Paris Saint-Germain,2020
Morata,Álvaro Borja Morata Martín,80,21000000,ST,Spain,29,Atlético de Madrid,2020
L. Shaw,Luke Shaw,80,22500000,LB,England,26,Manchester United,2014
C. Biraghi,Cristiano Biraghi,80,18500000,LB,Italy,29,Fiorentina,2018
E. Dier,Eric Dier,80,20000000,CB,England,28,Tottenham Hotspur,2014
Deulofeu,Gerard Deulofeu Lázaro,80,21500000,RW,Spain,28,Udinese Calcio,2021
T. Hazard,Thorgan Hazard,80,20500000,LM,Belgium,29,Borussia Dortmund,2019
T. Vaclík,Tomáš Vaclík,80,0,GK,Czech Republic,33,Free agent,2021
Edgar Badia,Edgar Badia Guardiola,80,16000000,GK,Spain,30,Elche CF,2019
K. Zouma,Kurt Zouma,80,22500000,CB,France,27,West Ham United,2021
M. Sabitzer,Marcel Sabitzer,80,21000000,CM,Austria,28,FC Bayern München,2021
K. Kampl,Kevin Kampl,80,17500000,CM,Slovenia,31,RB Leipzig,2017
A. Delort,Andy Delort,80,20500000,ST,Algeria,30,OGC Nice,2021
B. Leno,Bernd Leno,80,14000000,GK,Germany,30,Fulham,2022
Alex Sandro,Alex Sandro Lobo Silva,80,15500000,LB,Brazil,31,Juventus,2015
Yeray,Yeray Álvarez López,80,22500000,CB,Spain,27,Athletic Club de Bilbao,2014
G. Ochoa,Guillermo Ochoa,80,0,GK,Mexico,36,Free agent,2019
H. Herrera,Héctor Herrera,80,16500000,CM,Mexico,32,Houston Dynamo,2022
A. Consigli,Andrea Consigli,80,2300000,GK,Italy,35,U.S. Sassuolo Calcio,2014
Raúl García,Raúl García Escudero,80,9000000,CM,Spain,35,Athletic Club de Bilbao,2015
José Fonte,José Miguel da Rocha Fonte,80,3800000,CB,Portugal,38,LOSC Lille,2018
M. Hamšík,Marek Hamšík,80,9500000,CM,Slovakia,34,Trabzonspor,2021
A. Candreva,Antonio Candreva,80,8500000,RM,Italy,35,US Salernitana 1919,2021
S. Mignolet,Simon Mignolet,80,3600000,GK,Belgium,34,Club Brugge KV,2019
Joselu,José Luis Sanmartín Mato,80,17000000,ST,Spain,32,RCD Espanyol de Barcelona,2022
D. Ospina,David Ospina,80,7000000,GK,Colombia,33,Al Nassr,2022
E. Capoue,Etienne Capoue,80,13000000,CM,France,33,Villarreal CF,2021
G. Wijnaldum,Georginio Wijnaldum,80,17500000,CM,Netherlands,31,Roma,2021
M. Kruse,Max Kruse,80,10500000,CAM,Germany,34,VfL Wolfsburg,2022
M. Darmian,Matteo Darmian,80,14500000,RWB,Italy,32,Inter,2021
F. Coquelin,Francis Coquelin,80,17500000,CM,France,31,Villarreal CF,2020
D. Blind,Daley Blind,80,13500000,CDM,Netherlands,32,Ajax,2018
A. Cragno,Alessio Cragno,80,16500000,GK,Italy,28,AC Monza,2014
R. Freuler,Remo Freuler,80,20000000,CM,Switzerland,30,Nottingham Forest,2022
M. Arnold,Maximilian Arnold,80,20500000,CM,Germany,28,VfL Wolfsburg,2011
V. Lindelöf,Victor Lindelöf,80,21000000,CDM,Sweden,27,Manchester United,2017
Álex Moreno,Alexandre Moreno Lopera,80,18500000,LB,Spain,29,Real Betis Balompié,2019
M. Dahoud,Mahmoud Dahoud,80,26000000,CM,Germany,26,Borussia Dortmund,2017
J. Ledesma,Jeremías Conan Ledesma,80,17500000,GK,Argentina,29,Cádiz CF,2020
H. Traoré,Hamari Traoré,80,18000000,RB,Mali,30,Stade Rennais FC,2017
A. Rebić,Ante Rebić,80,21000000,ST,Croatia,28,AC Milan,2020
H. Hateboer,Hans Hateboer,80,19000000,RWB,Netherlands,28,Atalanta,2017
Kepa,Kepa Arrizabalaga,80,20500000,GK,Spain,27,Chelsea,2018
D. Calvert-Lewin,Dominic Calvert-Lewin,80,29500000,ST,England,25,Everton,2016
L. Klostermann,Lukas Klostermann,80,23000000,RB,Germany,26,RB Leipzig,2014
J. Correa,Joaquín Correa,80,23000000,RW,Argentina,27,Inter,2022
R. Karsdorp,Rick Karsdorp,80,22000000,RWB,Netherlands,27,Roma,2017
Joan Jordán,Joan Jordán Moreno,80,22500000,CM,Spain,27,Sevilla FC,2019
J. Bowen,Jarrod Bowen,80,28000000,LM,England,25,West Ham United,2020
Álex Berenguer,Alejandro Berenguer Remiro,80,23000000,RM,Spain,26,Athletic Club de Bilbao,2020
S. Bergwijn,Steven Bergwijn,80,32000000,CAM,Netherlands,24,Ajax,2022
E. Buendía,Emiliano Buendía,80,26500000,CAM,Argentina,25,Aston Villa,2021
U. Çakır,Uğurcan Çakır,80,22500000,GK,Turkey,26,Trabzonspor,2014
G. Scamacca,Gianluca Scamacca,80,33500000,ST,Italy,23,West Ham United,2022
Morales,José Luis Morales Nogales,80,10000000,LM,Spain,34,Villarreal CF,2022
M. Dúbravka,Martin Dúbravka,80,7000000,GK,Slovakia,33,Manchester United,2018
W. Benítez,Walter Benítez,80,17500000,GK,Argentina,29,PSV,2022
L. Paredes,Leandro Paredes,80,18500000,CDM,Argentina,28,Juventus,2019
S. Azmoun,Sardar Azmoun,80,24500000,ST,Iran,27,Bayer 04 Leverkusen,2022
William Carvalho,William Silva de Carvalho,80,17500000,CDM,Portugal,30,Real Betis Balompié,2018
B. Cristante,Bryan Cristante,80,23000000,CM,Italy,27,Roma,2019
Saúl,Saúl Ñíguez Esclápez,80,24000000,CM,Spain,27,Atlético de Madrid,2013
M. de Roon,Marten de Roon,80,15000000,CB,Netherlands,31,Atalanta,2017
A. Belotti,Andrea Belotti,80,21500000,ST,Italy,28,Roma,2022
Fred,Frederico de Paula Santos,80,20500000,CM,Brazil,29,Manchester United,2018
C. Günter,Christian Günter,80,18500000,LB,Germany,29,Sport-Club Freiburg,2012
A. Rabiot,Adrien Rabiot,80,24000000,CM,France,27,Juventus,2019
Rui Silva,Rui Tiago Dantas da Silva,80,18000000,GK,Portugal,28,Real Betis Balompié,2021
A. Romagnoli,Alessio Romagnoli,80,19500000,CB,Italy,27,Lazio,2022
Carles Gil,Carles Gil Pareja,80,20500000,CAM,Spain,29,New England Revolution,2019
A. Martial,Anthony Martial,80,28000000,ST,France,26,Manchester United,2015
M. Dembélé,Moussa Dembélé,80,28500000,ST,France,25,Olympique Lyonnais,2018
M. Flekken,Mark Flekken,80,16000000,GK,Netherlands,29,Sport-Club Freiburg,2018
Alex Telles,Alex Nicolao Telles,80,18500000,LB,Brazil,29,Sevilla FC,2020
A. Gouiri,Amine Gouiri,79,36000000,CAM,France,22,Stade Rennais FC,2022
N. Maksimović,Nemanja Maksimović,79,20000000,CM,Serbia,27,Getafe CF,2018
Unai Núñez,Unai Núñez Gestoso,79,22000000,CB,Spain,25,RC Celta de Vigo,2016
O. Kökçü,Orkun Kökçü,79,35500000,CAM,Turkey,21,Feyenoord,2017
A. Nwakaeme,Anthony Nwakaeme,79,11000000,LM,Nigeria,33,Al Fayha,2022
Luis Milla,Luis Milla Manzanares,79,19000000,CDM,Spain,27,Getafe CF,2022
T. Malacia,Tyrell Malacia,79,26500000,LWB,Netherlands,22,Manchester United,2022
J. David,Jonathan David,79,28500000,ST,Canada,22,LOSC Lille,2020
C. Gallagher,Conor Gallagher,79,35500000,CM,England,22,Chelsea,2017
A. Sánchez,Alexis Sánchez,79,11000000,CAM,Chile,33,Olympique de Marseille,2022
P. Estupiñán,Pervis Estupiñán,79,23500000,LB,Ecuador,24,Brighton & Hove Albion,2022
J. Foyth,Juan Foyth,79,24500000,CB,Argentina,24,Villarreal CF,2021
Kim Min Jae,Min Jae Kim,79,23000000,CB,Korea Republic,25,Napoli,2022
D. Szoboszlai,Dominik Szoboszlai,79,39500000,CAM,Hungary,21,RB Leipzig,2021
David Neres,David Neres Campos,79,23000000,CAM,Brazil,25,SL Benfica,2022
A. Ogbonna,Angelo Ogbonna,79,5500000,CB,Italy,34,West Ham United,2015
J. Boateng,Jérôme Boateng,79,8500000,CB,Germany,33,Olympique Lyonnais,2021
Y. Fofana,Youssouf Fofana,79,24500000,CDM,France,23,AS Monaco,2020
L. Stindl,Lars Stindl,79,11000000,CAM,Germany,33,Borussia Mönchengladbach,2015
Luís Maximiano,Luís Manuel Arantes Maximiano,79,22500000,GK,Portugal,23,Lazio,2022
Diego López,Diego López Rodríguez,79,1900000,GK,Spain,40,Rayo Vallecano,2022
R. Gravenberch,Ryan Gravenberch,79,38500000,CAM,Netherlands,20,FC Bayern München,2022
Ansu Fati,Anssumane Fati,79,38000000,CAM,Spain,19,FC Barcelona,2018
Pedro,Pedro Rodríguez Ledesma,79,8000000,CAM,Spain,34,Lazio,2021
G. Goodman,George Goodman,79,15500000,LB,England,29,AFC Richmond,2019
M. Bumbercatch,Moe Bumbercatch,79,23000000,CM,England,25,AFC Richmond,2018
Gavi,Pablo Martín Páez Gavira,79,36000000,CAM,Spain,17,FC Barcelona,2020
Yeremy Pino,Yeremy Jesús Pino Santos,79,38000000,CAM,Spain,19,Villarreal CF,2020
Gonçalo Inácio,Gonçalo Bernardo Inácio,79,36000000,CB,Portugal,20,Sporting CP,2019
Vitinha,Vítor Machado Ferreira,79,39500000,CAM,Portugal,22,Paris Saint-Germain,2022
Matheus Nunes,Matheus Luiz Nunes,79,35000000,CAM,Portugal,23,Wolverhampton Wanderers,2022
G. Raspadori,Giacomo Raspadori,79,36000000,CAM,Italy,22,Napoli,2019
S. Chukwueze,Samuel Chukwueze,79,27500000,LM,Nigeria,23,Villarreal CF,2018
A. Musrati,Ali Musrati,79,22000000,CDM,Libya,26,SC Braga,2020
Beto,Norberto Gomes Betuncal,79,24500000,ST,Portugal,24,Udinese Calcio,2022
W. Fofana,Wesley Fofana,79,33000000,CB,France,21,Chelsea,2022
E. Camavinga,Eduardo Camavinga,79,38000000,CDM,France,19,Real Madrid CF,2021
Zubimendi,Martín Zubimendi Ibáñez,79,35000000,CM,Spain,23,Real Sociedad,2018
Ibañez,Roger Ibañez Da Silva,79,22500000,CB,Brazil,23,Roma,2021
M. Caqueret,Maxence Caqueret,79,26000000,CM,France,22,Olympique Lyonnais,2018
B. Dia,Boulaye Dia,79,24500000,ST,Senegal,25,US Salernitana 1919,2021
M. Lanzini,Manuel Lanzini,79,17000000,CAM,Argentina,29,West Ham United,2016
Guaita,Vicente Guaita Panadero,79,1900000,GK,Spain,35,Crystal Palace,2018
A. Talavera,Alfredo Talavera,79,0,GK,Mexico,39,Free agent,2020
R. Bentancur,Rodrigo Bentancur,79,24500000,CDM,Uruguay,25,Tottenham Hotspur,2022
G. Montiel,Gonzalo Montiel,79,20000000,RWB,Argentina,25,Sevilla FC,2021
L. Blas,Ludovic Blas,79,25000000,CAM,France,24,FC Nantes,2019
Matheus Reis,Matheus Reis de Lima,79,20000000,CB,Brazil,27,Sporting CP,2021
Luimo Boas Santos,Luan Vágner Boas Macedo,79,21000000,CF,Brazil,22,Santos,2022
Gabri Prestão,Bernard Gabriel Prestão Chaves,79,11500000,GK,Brazil,30,Internacional,2022
Melvin Parrela,Melvin Luan Parrela Porfírio,79,18500000,CB,Brazil,22,RB Bragantino,2022
Jorge Andrão,Everton Jorge Andrade Zanon,79,17000000,CDM,Brazil,26,Fluminense,2022
Adnan Vidual,Adnan Claudiano Vidual Machado,79,15000000,RB,Brazil,30,Internacional,2022
Diego Essler,Ronaldo Diego Essler Domingues,79,19000000,LB,Brazil,22,Clube Atlético Mineiro,2022
Emelvinson,Emelvin William Anjos Rochedo,79,3000000,GK,Brazil,34,RB Bragantino,2022
E. Ávila,Ezequiel Ávila,79,18000000,ST,Argentina,28,CA Osasuna,2019
O. Zinchenko,Oleksandr Zinchenko,79,21500000,CM,Ukraine,25,Arsenal,2022
E. Konsa,Ezri Konsa,79,32500000,CB,England,24,Aston Villa,2019
A. Rossi,Agustín Rossi,79,19000000,GK,Argentina,26,Boca Juniors,2017
D. Sánchez,Davinson Sánchez,79,18000000,CB,Colombia,26,Tottenham Hotspur,2017
M. Cash,Matty Cash,79,24500000,RWB,Poland,24,Aston Villa,2020
B. Pavard,Benjamin Pavard,79,20000000,CB,France,26,FC Bayern München,2019
Pablo Fornals,Pablo Fornals Malla,79,21500000,CM,Spain,26,West Ham United,2019
N. Mukiele,Nordi Mukiele,79,23500000,CB,France,24,Paris Saint-Germain,2022
N. Pépé,Nicolas Pépé,79,18500000,LW,Côte d'Ivoire,27,OGC Nice,2019
A. Golovin,Alexandr Golovin,79,20500000,CAM,Russia,26,AS Monaco,2018
David García,David García Zubiria,79,17500000,CB,Spain,28,CA Osasuna,2013
E. Skhiri,Ellyes Skhiri,79,18000000,CDM,Tunisia,27,1. FC Köln,2019
A. Marušić,Adam Marušić,79,15500000,LB,Montenegro,29,Lazio,2017
W. Weghorst,Wout Weghorst,79,17500000,ST,Netherlands,29,Beşiktaş JK,2022
J. Omlin,Jonas Omlin,79,15000000,GK,Switzerland,28,Montpellier Hérault SC,2020
J. Weigl,Julian Weigl,79,20500000,CDM,Germany,26,Borussia Mönchengladbach,2020
D. van de Beek,Donny van de Beek,79,25500000,CAM,Netherlands,25,Manchester United,2020
D. Malen,Donyell Malen,79,28000000,ST,Netherlands,23,Borussia Dortmund,2021
Rafa Mir,Rafael Mir Vicente,79,26000000,ST,Spain,25,Sevilla FC,2021
B. White,Benjamin White,79,32500000,CDM,England,24,Arsenal,2021
J. Bijlow,Justin Bijlow,79,22500000,GK,Netherlands,24,Feyenoord,2015
S. Mandanda,Steve Mandanda,79,1900000,GK,France,37,Stade Rennais FC,2022
J. Evans,Jonny Evans,79,5500000,CB,Northern Ireland,34,Leicester City,2018
Joaquín,Joaquín Sánchez Rodríguez,79,0,CAM,Spain,40,Real Betis Balompié,2015
D. Wass,Daniel Wass,79,11000000,CM,Denmark,33,Brøndby IF,2022
Ó. Trejo,Óscar Trejo,79,8000000,CAM,Argentina,34,Rayo Vallecano,2017
A. Witsel,Axel Witsel,79,8500000,CDM,Belgium,33,Atlético de Madrid,2022
J. Hernández,Javier Hernández,79,8500000,ST,Mexico,34,LA Galaxy,2020
Sergio Asenjo,Sergio Asenjo Andrés,79,5500000,GK,Spain,33,Real Valladolid CF,2022
A. Modeste,Anthony Modeste,79,8500000,ST,France,34,Borussia Dortmund,2022
F. Muslera,Fernando Muslera,79,1900000,GK,Uruguay,36,Galatasaray SK,2011
G. Buffon,Gianluigi Buffon,79,1900000,GK,Italy,44,Parma,2021
O. Wijndal,Owen Wijndal,79,24000000,LWB,Netherlands,22,Ajax,2022
Reinildo,Reinildo Isnard Mandava,79,16000000,LB,Mozambique,28,Atlético de Madrid,2022
Fran Beltrán,Francisco José Beltrán Peinado,79,24500000,CDM,Spain,23,RC Celta de Vigo,2018
C. Ünder,Cengiz Ünder,79,24000000,RW,Turkey,24,Olympique de Marseille,2022
Lucas Veríssimo,Lucas Veríssimo da Silva,79,20500000,CB,Brazil,26,SL Benfica,2021
T. Ndombele,Tanguy Ndombele,79,23000000,CAM,France,25,Napoli,2019
S. Özcan,Salih Özcan,79,23000000,CDM,Turkey,24,Borussia Dortmund,2022
